OBJECTID,Summary Level,Geographic Code Identifier,Geographic Record Identifier,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,Area Base Name,File Identification,State/US-Abbreviation (USPS),Characteristic Iteration,Characteristic Iteration File Sequence Number,Logical Record Number,Total Pop,Institutionalized population,Correctional facilities for adults,Juvenile facilities,Nursing facilities/Skilled-nursing facilities,Other institutional facilities,Noninstitutionalized population,College/University student housing,Military quarters,Other noninstitutional facilities
1,150,530330019002,1500000US530330019002,Block Group 2,2,PLST,WA,000,03,3165,16,0,0,0,0,0,16,0,0,16
2,150,530330019003,1500000US530330019003,Block Group 3,3,PLST,WA,000,03,3166,0,0,0,0,0,0,0,0,0,0
3,150,530330019004,1500000US530330019004,Block Group 4,4,PLST,WA,000,03,3167,55,0,0,0,0,0,55,0,0,55
4,150,530330020001,1500000US530330020001,Block Group 1,1,PLST,WA,000,03,3168,66,66,0,0,66,0,0,0,0,0
5,150,530330020002,1500000US530330020002,Block Group 2,2,PLST,WA,000,03,3169,0,0,0,0,0,0,0,0,0,0
6,150,530330020003,1500000US530330020003,Block Group 3,3,PLST,WA,000,03,3170,21,0,0,0,0,0,21,0,0,21
7,150,530330021001,1500000US530330021001,Block Group 1,1,PLST,WA,000,03,3171,18,0,0,0,0,0,18,0,0,18
8,150,530330021002,1500000US530330021002,Block Group 2,2,PLST,WA,000,03,3172,0,0,0,0,0,0,0,0,0,0
9,150,530330021003,1500000US530330021003,Block Group 3,3,PLST,WA,000,03,3173,0,0,0,0,0,0,0,0,0,0
10,150,530330022001,1500000US530330022001,Block Group 1,1,PLST,WA,000,03,3174,29,0,0,0,0,0,29,0,0,29
11,150,530330022002,1500000US530330022002,Block Group 2,2,PLST,WA,000,03,3175,1,1,0,0,1,0,0,0,0,0
12,150,530330022003,1500000US530330022003,Block Group 3,3,PLST,WA,000,03,3176,2,2,0,0,2,0,0,0,0,0
13,150,530330022004,1500000US530330022004,Block Group 4,4,PLST,WA,000,03,3177,0,0,0,0,0,0,0,0,0,0
14,150,530330024001,1500000US530330024001,Block Group 1,1,PLST,WA,000,03,3178,0,0,0,0,0,0,0,0,0,0
15,150,530330024002,1500000US530330024002,Block Group 2,2,PLST,WA,000,03,3179,0,0,0,0,0,0,0,0,0,0
16,150,530330025001,1500000US530330025001,Block Group 1,1,PLST,WA,000,03,3180,0,0,0,0,0,0,0,0,0,0
17,150,530330025002,1500000US530330025002,Block Group 2,2,PLST,WA,000,03,3181,0,0,0,0,0,0,0,0,0,0
18,150,530330026001,1500000US530330026001,Block Group 1,1,PLST,WA,000,03,3182,0,0,0,0,0,0,0,0,0,0
19,150,530330001011,1500000US530330001011,Block Group 1,1,PLST,WA,000,03,3093,5,5,0,0,5,0,0,0,0,0
20,150,530330001012,1500000US530330001012,Block Group 2,2,PLST,WA,000,03,3094,0,0,0,0,0,0,0,0,0,0
21,150,530330001013,1500000US530330001013,Block Group 3,3,PLST,WA,000,03,3095,28,0,0,0,0,0,28,0,0,28
22,150,530330001021,1500000US530330001021,Block Group 1,1,PLST,WA,000,03,3096,0,0,0,0,0,0,0,0,0,0
23,150,530330001022,1500000US530330001022,Block Group 2,2,PLST,WA,000,03,3097,26,0,0,0,0,0,26,0,0,26
24,150,530330001023,1500000US530330001023,Block Group 3,3,PLST,WA,000,03,3098,25,0,0,0,0,0,25,0,0,25
